id,text,score,author,movie,split
737,Sólida de principio a fin. Las actuaciones brillan. Recomendada.,4.4,Ana,Dune,train
86,No la recomiendo en absoluto. El guion no tiene sentido. Desperdicio absoluto de tiempo.,1.0,Diego,Coco,train
883,Inolvidable. Profundamente conmovedora. Una joya absoluta.,4.7,FHG,Joker,train
8,Pésima película. La fotografía parece amateur. Se siente eterna y vacía.,1.7,María,Parasite,train
723,Me gustó bastante. La música te envuelve. Buen trabajo del director.,4.1,Ana,Whiplash,train
44,Insoportable de principio a fin. El sonido es confuso. Salí del cine antes de que terminara.,1.6,Diego,Interstellar,train
567,Entretenida sin más. El reparto funciona a medias. Ideal para una tarde lluviosa.,3.2,Carlos,Spider‑Verse,valid
318,"No cumple lo prometido. Los personajes están poco desarrollados. No la odié, pero tampoco la disfrutaría de nuevo.",2.5,Lucía,Roma,train
875,Cine del bueno. Te atrapa desde el primer minuto. Se queda grabada en la memoria.,4.7,Ana,Arrival,train
744,Recomendable. Las actuaciones brillan. Salí contento del cine.,4.5,María,Spider‑Verse,train
354,"Quedó debiendo muchísimo. Los personajes están poco desarrollados. No la odié, pero tampoco la disfrutaría de nuevo.",2.1,Lucía,Dune,train
146,Dos horas perdidas. El montaje es caótico. Se siente eterna y vacía.,1.6,Ana,Spider‑Verse,train
347,"No cumple lo prometido. La trama se desinfla a mitad. No la odié, pero tampoco la disfrutaría de nuevo.",2.1,Diego,1917,train
591,Entretenida sin más. El ritmo mantiene la atención. Salí neutral.,3.3,Ana,Parasite,test
772,Me gustó bastante. La fotografía es preciosa. Buen trabajo del director.,4.2,Ana,La La Land,valid
337,"Decepcionante pero con algún destello. Los personajes están poco desarrollados. Si no hay nada más, tal vez la pongas de fondo.",2.3,Diego,Spider‑Verse,train
634,Recomendable. El clímax emociona. Salí contento del cine.,4.3,FHG,1917,train
311,"Quedó debiendo muchísimo. Los efectos especiales apenas salvan algunos momentos. No la odié, pero tampoco la disfrutaría de nuevo.",2.4,FHG,Interstellar,train
694,Recomendable. El guion mantiene el suspense. Seguro la veré otra vez.,4.3,María,Mad Max: Fury Road,train
692,Sólida de principio a fin. La fotografía es preciosa. Buen trabajo del director.,4.3,Ana,Mad Max: Fury Road,train
339,"Quedó debiendo muchísimo. La trama se desinfla a mitad. Si no hay nada más, tal vez la pongas de fondo.",2.1,Diego,1917,train
902,Inolvidable. Guion impecable y actuaciones memorables. Se queda grabada en la memoria.,4.8,FHG,Mad Max: Fury Road,train
319,"No cumple lo prometido. La trama se desinfla a mitad. No la odié, pero tampoco la disfrutaría de nuevo.",2.3,FHG,Whiplash,train
353,"No cumple lo prometido. El final es predecible. No la odié, pero tampoco la disfrutaría de nuevo.",2.5,Carlos,Whiplash,train
162,Insoportable de principio a fin. El sonido es confuso. Salí del cine antes de que terminara.,1.2,FHG,Joker,valid
543,"Entretenida sin más. El reparto funciona a medias. Cumple, aunque no sorprende.",3.1,Ana,Whiplash,train
787,"Grata sorpresa. Las actuaciones brillan. Con pequeños fallos, pero funciona.",4.1,María,Parasite,test
918,Obra maestra. Te atrapa desde el primer minuto. Una joya absoluta.,4.7,María,Joker,train
388,Quedó debiendo muchísimo. Los personajes están poco desarrollados. Una pena.,2.6,María,Spider‑Verse,test
197,Pésima película. El guion no tiene sentido. Desperdicio absoluto de tiempo.,1.4,Carlos,Coco,test
649,Grata sorpresa. El humor está bien medido. Seguro la veré otra vez.,4.2,Carlos,Dune,train
168,Pésima película. El sonido es confuso. Se siente eterna y vacía.,1.5,Ana,Roma,valid
598,Tiene luces y sombras. La ambientación destaca sobre el guion. Ideal para una tarde lluviosa.,3.9,FHG,Mad Max: Fury Road,test
393,"Decepcionante pero con algún destello. El ritmo es irregular. No la odié, pero tampoco la disfrutaría de nuevo.",2.2,María,Mad Max: Fury Road,test
804,Inolvidable. Fotografía y música sobresalientes. Una joya absoluta.,4.9,FHG,Dune,train
537,Entretenida sin más. La ambientación destaca sobre el guion. Seguramente la olvidaré pronto.,3.3,FHG,Mad Max: Fury Road,train
173,Simplemente nefasta. El montaje es caótico. Una completa decepción.,1.9,Diego,Coco,valid
831,Cine del bueno. Profundamente conmovedora. Inolvidable.,4.7,Lucía,Arrival,train
183,Insoportable de principio a fin. La fotografía parece amateur. Desperdicio absoluto de tiempo.,1.4,María,Dune,test
703,Grata sorpresa. La fotografía es preciosa. Recomendada.,4.3,Diego,Whiplash,train
785,Sólida de principio a fin. El clímax emociona. Recomendada.,4.1,Carlos,Dune,test
614,Grata sorpresa. El guion mantiene el suspense. Seguro la veré otra vez.,4.3,Carlos,Roma,train
966,Obra maestra. Guion impecable y actuaciones memorables. Se queda grabada en la memoria.,4.8,Lucía,Interstellar,valid
172,Horrible experiencia. Los diálogos dan vergüenza ajena. Le pongo la peor nota posible.,1.5,Lucía,Coco,valid
346,Decepcionante pero con algún destello. La música intenta levantar la historia. Le falta alma.,2.1,Diego,Roma,train
823,Cine del bueno. Profundamente conmovedora. Salí conmovido.,4.7,Diego,1917,train
878,Obra maestra. Fotografía y música sobresalientes. Inolvidable.,4.6,Ana,Coco,train
148,Dos horas perdidas. El sonido es confuso. Desperdicio absoluto de tiempo.,1.8,Diego,Coco,train
549,Aceptable. El reparto funciona a medias. Ideal para una tarde lluviosa.,3.8,Carlos,Roma,train
643,Grata sorpresa. El guion mantiene el suspense. Vale la entrada.,4.5,FHG,Interstellar,train
972,Maravillosa. Guion impecable y actuaciones memorables. La mejor del año.,4.6,Diego,Parasite,valid
935,Cine del bueno. Profundamente conmovedora. Salí conmovido.,4.8,Ana,Interstellar,train
185,Insoportable de principio a fin. Las actuaciones son de cartón. Una completa decepción.,1.2,Diego,Arrival,test
608,Buen entretenimiento. El guion mantiene el suspense. Seguro la veré otra vez.,4.4,Diego,1917,train
438,"Regular en casi todo. Algunos chistes caen planos. Cumple, aunque no sorprende.",3.4,María,Coco,train
267,"Decepcionante pero con algún destello. La trama se desinfla a mitad. No la odié, pero tampoco la disfrutaría de nuevo.",2.8,Carlos,Interstellar,train
809,Obra maestra. Profundamente conmovedora. Inolvidable.,4.7,Carlos,Spider‑Verse,train
448,Correcta pero olvidable. El reparto funciona a medias. Seguramente la olvidaré pronto.,3.4,Diego,Arrival,train
714,Sólida de principio a fin. El humor está bien medido. Seguro la veré otra vez.,4.3,Carlos,Dune,train
115,Insoportable de principio a fin. El montaje es caótico. Le pongo la peor nota posible.,1.6,FHG,Coco,train
657,Buen entretenimiento. El guion mantiene el suspense. Salí contento del cine.,4.0,Ana,The Dark Knight,train
986,Maravillosa. Fotografía y música sobresalientes. Una joya absoluta.,4.8,Lucía,Whiplash,test
427,Tiene luces y sombras. Buenos efectos aunque la historia es cliché. Seguramente la olvidaré pronto.,3.7,Ana,Joker,train
6,Horrible experiencia. El guion no tiene sentido. Desperdicio absoluto de tiempo.,1.1,FHG,Joker,train
641,Recomendable. Las actuaciones brillan. Recomendada.,4.1,María,Coco,train
987,Maravillosa. Profundamente conmovedora. La mejor del año.,4.8,María,La La Land,test
933,Impresionante. Profundamente conmovedora. La mejor del año.,4.8,Lucía,Interstellar,train
42,Pésima película. El montaje es caótico. Se siente eterna y vacía.,1.8,Lucía,Coco,train
135,Dos horas perdidas. El montaje es caótico. Salí del cine antes de que terminara.,1.3,Ana,The Dark Knight,train
939,Excepcional. Fotografía y música sobresalientes. Se queda grabada en la memoria.,4.8,Lucía,Spider‑Verse,train
815,Excepcional. Fotografía y música sobresalientes. La mejor del año.,4.6,Ana,Coco,train
995,Impresionante. Te atrapa desde el primer minuto. La vería mil veces.,4.9,Lucía,Interstellar,test
806,Impresionante. Guion impecable y actuaciones memorables. La vería mil veces.,5.0,María,Soul,train
559,Regular en casi todo. Buenos efectos aunque la historia es cliché. Salí neutral.,3.6,Diego,Parasite,train
876,Maravillosa. Guion impecable y actuaciones memorables. La mejor del año.,4.9,María,Soul,train
934,Maravillosa. Profundamente conmovedora. Se queda grabada en la memoria.,4.7,Lucía,Coco,train
862,Inolvidable. Te atrapa desde el primer minuto. Se queda grabada en la memoria.,4.7,Diego,Whiplash,train
869,Inolvidable. Cada plano es arte puro. La mejor del año.,5.0,FHG,Roma,train
793,"Sólida de principio a fin. Las actuaciones brillan. Con pequeños fallos, pero funciona.",4.2,Ana,Parasite,test
929,Obra maestra. Te atrapa desde el primer minuto. Una joya absoluta.,4.9,Diego,Coco,train
247,Decepcionante pero con algún destello. El final es predecible. Solo la salva la banda sonora.,2.1,Ana,Interstellar,train
765,Sólida de principio a fin. El humor está bien medido. Seguro la veré otra vez.,4.4,Ana,Mad Max: Fury Road,valid
940,Impresionante. Profundamente conmovedora. Se queda grabada en la memoria.,4.6,María,Parasite,train
49,Horrible experiencia. La fotografía parece amateur. Se siente eterna y vacía.,1.7,FHG,Coco,train
829,Impresionante. Profundamente conmovedora. La vería mil veces.,4.7,Carlos,Coco,train
617,Recomendable. La fotografía es preciosa. Vale la entrada.,4.4,FHG,The Dark Knight,train
317,"Decepcionante pero con algún destello. Los personajes están poco desarrollados. No la odié, pero tampoco la disfrutaría de nuevo.",2.6,Carlos,Everything Everywhere All at Once,train
447,Tiene luces y sombras. La ambientación destaca sobre el guion. Ideal para una tarde lluviosa.,3.0,Ana,Joker,train
314,Esperaba más. Los personajes están poco desarrollados. Una pena.,2.7,Lucía,Interstellar,train
417,Correcta pero olvidable. El ritmo mantiene la atención. Salí neutral.,3.1,María,Parasite,train
572,Entretenida sin más. Algunos chistes caen planos. Salí neutral.,3.7,Carlos,Everything Everywhere All at Once,valid
922,Inolvidable. Cada plano es arte puro. Salí conmovido.,4.7,Ana,Soul,train
104,Horrible experiencia. El guion no tiene sentido. Se siente eterna y vacía.,1.1,Lucía,Joker,train
542,Aceptable. La ambientación destaca sobre el guion. Seguramente la olvidaré pronto.,3.2,FHG,Spider‑Verse,train
892,Inolvidable. Fotografía y música sobresalientes. La mejor del año.,4.6,Lucía,Everything Everywhere All at Once,train
661,Muy disfrutable. El humor está bien medido. Salí contento del cine.,4.2,María,Arrival,train
36,Pésima película. El guion no tiene sentido. Salí del cine antes de que terminara.,1.8,Ana,Parasite,train
870,Impresionante. Guion impecable y actuaciones memorables. Se queda grabada en la memoria.,4.6,Lucía,Interstellar,train
917,Maravillosa. Fotografía y música sobresalientes. Se queda grabada en la memoria.,4.8,María,Everything Everywhere All at Once,train
103,Pésima película. El montaje es caótico. Desperdicio absoluto de tiempo.,1.3,FHG,Parasite,train
792,"Sólida de principio a fin. Las actuaciones brillan. Con pequeños fallos, pero funciona.",4.3,Diego,Roma,test
53,Insoportable de principio a fin. Los diálogos dan vergüenza ajena. Salí del cine antes de que terminara.,1.3,Ana,Dune,train
201,Floja en casi todo. Los personajes están poco desarrollados. Algo rescata la fotografía.,2.2,Carlos,Spider‑Verse,train
5,Dos horas perdidas. El guion no tiene sentido. Ni gratis la volvería a ver.,1.3,FHG,The Dark Knight,train
954,Impresionante. Te atrapa desde el primer minuto. La mejor del año.,5.0,María,Parasite,train
454,Tiene luces y sombras. Nada sorprende pero nada ofende. Ideal para una tarde lluviosa.,3.1,FHG,Interstellar,train
715,Me gustó bastante. La música te envuelve. Seguro la veré otra vez.,4.3,Ana,Parasite,train
477,Está bien para pasar el rato. El reparto funciona a medias. No destaca pero tampoco ofende.,3.8,FHG,The Dark Knight,train
471,Tiene luces y sombras. La ambientación destaca sobre el guion. Salí neutral.,3.7,FHG,Roma,train
600,Correcta pero olvidable. Algunos chistes caen planos. Salí neutral.,3.2,Carlos,Spider‑Verse,test
647,Recomendable. El humor está bien medido. Vale la entrada.,4.5,FHG,Spider‑Verse,train
236,"Floja en casi todo. Los personajes están poco desarrollados. No la odié, pero tampoco la disfrutaría de nuevo.",2.0,Ana,Spider‑Verse,train
794,"Muy disfrutable. El clímax emociona. Con pequeños fallos, pero funciona.",4.4,FHG,Interstellar,test
973,Impresionante. Fotografía y música sobresalientes. Inolvidable.,4.7,FHG,1917,valid
299,No cumple lo prometido. Los efectos especiales apenas salvan algunos momentos. Solo la salva la banda sonora.,2.5,Ana,La La Land,train
857,Obra maestra. Te atrapa desde el primer minuto. La mejor del año.,4.8,Lucía,Mad Max: Fury Road,train
262,"Decepcionante pero con algún destello. La trama se desinfla a mitad. Si no hay nada más, tal vez la pongas de fondo.",2.4,Diego,Roma,train
58,Pésima película. El montaje es caótico. Le pongo la peor nota posible.,1.2,FHG,1917,train
165,No la recomiendo en absoluto. El sonido es confuso. Le pongo la peor nota posible.,1.7,Diego,The Dark Knight,valid
759,Grata sorpresa. El guion mantiene el suspense. Salí contento del cine.,4.1,María,Interstellar,train
697,Muy disfrutable. Las actuaciones brillan. Salí contento del cine.,4.1,María,Arrival,train
56,Pésima película. La fotografía parece amateur. Una completa decepción.,1.5,Lucía,Dune,train
967,Excepcional. Guion impecable y actuaciones memorables. La vería mil veces.,5.0,FHG,La La Land,valid
29,Pésima película. El sonido es confuso. Salí del cine antes de que terminara.,1.1,María,Coco,train
924,Cine del bueno. Cada plano es arte puro. Salí conmovido.,4.7,Lucía,Interstellar,train
189,Dos horas perdidas. El montaje es caótico. Desperdicio absoluto de tiempo.,1.8,Ana,Whiplash,test
670,Buen entretenimiento. El clímax emociona. Recomendada.,4.2,Diego,Arrival,train
689,"Me gustó bastante. El clímax emociona. Con pequeños fallos, pero funciona.",4.4,Carlos,Soul,train
376,Quedó debiendo muchísimo. La trama se desinfla a mitad. Algo rescata la fotografía.,2.6,Lucía,Mad Max: Fury Road,valid
799,Recomendable. Las actuaciones brillan. Salí contento del cine.,4.1,María,The Dark Knight,test
309,No cumple lo prometido. La música intenta levantar la historia. Algo rescata la fotografía.,2.2,Carlos,Whiplash,train
55,Dos horas perdidas. Los diálogos dan vergüenza ajena. Ni gratis la volvería a ver.,1.4,Ana,Roma,train
118,Insoportable de principio a fin. El guion no tiene sentido. Desperdicio absoluto de tiempo.,1.0,Diego,Whiplash,train
693,"Muy disfrutable. El guion mantiene el suspense. Con pequeños fallos, pero funciona.",4.2,FHG,Parasite,train
205,"No cumple lo prometido. La música intenta levantar la historia. Si no hay nada más, tal vez la pongas de fondo.",2.6,Diego,Dune,train
899,Maravillosa. Fotografía y música sobresalientes. La mejor del año.,4.9,María,Coco,train
304,Floja en casi todo. El ritmo es irregular. Una pena.,2.6,Carlos,Parasite,train
261,"Floja en casi todo. Los efectos especiales apenas salvan algunos momentos. Si no hay nada más, tal vez la pongas de fondo.",2.4,FHG,Interstellar,train
32,Dos horas perdidas. El montaje es caótico. Desperdicio absoluto de tiempo.,1.6,Diego,Arrival,train
486,Está bien para pasar el rato. El reparto funciona a medias. Ideal para una tarde lluviosa.,3.8,Lucía,Whiplash,train
860,Obra maestra. Fotografía y música sobresalientes. Inolvidable.,4.9,FHG,Mad Max: Fury Road,train
37,Pésima película. La fotografía parece amateur. Le pongo la peor nota posible.,1.0,FHG,Roma,train
163,Insoportable de principio a fin. El sonido es confuso. Una completa decepción.,1.2,Diego,Parasite,valid
483,Tiene luces y sombras. Buenos efectos aunque la historia es cliché. Seguramente la olvidaré pronto.,3.8,Carlos,Spider‑Verse,train
808,Impresionante. Cada plano es arte puro. La mejor del año.,5.0,María,Interstellar,train
846,Maravillosa. Guion impecable y actuaciones memorables. La mejor del año.,4.9,Diego,Spider‑Verse,train
836,Maravillosa. Profundamente conmovedora. Inolvidable.,4.7,Carlos,The Dark Knight,train
923,Inolvidable. Te atrapa desde el primer minuto. La mejor del año.,5.0,Carlos,Parasite,train
745,Me gustó bastante. El clímax emociona. Seguro la veré otra vez.,4.5,Ana,Dune,train
385,Decepcionante pero con algún destello. Los efectos especiales apenas salvan algunos momentos. Le falta alma.,2.7,Diego,La La Land,test
750,Muy disfrutable. El humor está bien medido. Buen trabajo del director.,4.2,Diego,Whiplash,train
101,Pésima película. El sonido es confuso. Ni gratis la volvería a ver.,1.6,María,Roma,train
690,Grata sorpresa. La música te envuelve. Seguro la veré otra vez.,4.1,FHG,Roma,train
227,"Se queda a medias. La trama se desinfla a mitad. No la odié, pero tampoco la disfrutaría de nuevo.",2.6,María,Soul,train
457,Aceptable. Nada sorprende pero nada ofende. Salí neutral.,3.5,FHG,Arrival,train
398,"No cumple lo prometido. El ritmo es irregular. No la odié, pero tampoco la disfrutaría de nuevo.",2.3,Carlos,Everything Everywhere All at Once,test
675,"Buen entretenimiento. La fotografía es preciosa. Con pequeños fallos, pero funciona.",4.3,Lucía,1917,train
268,Esperaba más. La música intenta levantar la historia. Una pena.,2.7,Carlos,The Dark Knight,train
374,"Quedó debiendo muchísimo. La música intenta levantar la historia. No la odié, pero tampoco la disfrutaría de nuevo.",2.3,Lucía,Coco,valid
678,Me gustó bastante. La música te envuelve. Recomendada.,4.1,María,Soul,train
932,Maravillosa. Te atrapa desde el primer minuto. Se queda grabada en la memoria.,5.0,Carlos,Spider‑Verse,train
186,Dos horas perdidas. Los diálogos dan vergüenza ajena. Una completa decepción.,1.9,Diego,Everything Everywhere All at Once,test
336,"No cumple lo prometido. El ritmo es irregular. Si no hay nada más, tal vez la pongas de fondo.",2.1,FHG,Mad Max: Fury Road,train
812,Impresionante. Cada plano es arte puro. La mejor del año.,4.7,Diego,Joker,train
389,"Esperaba más. El final es predecible. No la odié, pero tampoco la disfrutaría de nuevo.",2.3,FHG,Dune,test
79,Insoportable de principio a fin. El montaje es caótico. Salí del cine antes de que terminara.,1.7,Diego,Joker,train
770,"Muy disfrutable. El guion mantiene el suspense. Con pequeños fallos, pero funciona.",4.5,FHG,The Dark Knight,valid
752,Buen entretenimiento. Las actuaciones brillan. Buen trabajo del director.,4.4,Ana,Mad Max: Fury Road,train
345,Esperaba más. Los personajes están poco desarrollados. Le falta alma.,2.1,María,Mad Max: Fury Road,train
80,No la recomiendo en absoluto. El sonido es confuso. Una completa decepción.,1.4,Lucía,1917,train
178,Pésima película. Los diálogos dan vergüenza ajena. Desperdicio absoluto de tiempo.,1.7,FHG,Coco,valid
658,Me gustó bastante. El clímax emociona. Seguro la veré otra vez.,4.4,Carlos,Soul,train
211,Floja en casi todo. Los efectos especiales apenas salvan algunos momentos. Algo rescata la fotografía.,2.2,Lucía,Mad Max: Fury Road,train
382,"Decepcionante pero con algún destello. Los personajes están poco desarrollados. Si no hay nada más, tal vez la pongas de fondo.",2.0,FHG,Spider‑Verse,test
513,Regular en casi todo. Algunos chistes caen planos. No destaca pero tampoco ofende.,3.9,Carlos,Parasite,train
686,Recomendable. El humor está bien medido. Recomendada.,4.0,María,Whiplash,train
998,Cine del bueno. Guion impecable y actuaciones memorables. La vería mil veces.,4.9,Carlos,Dune,test
928,Inolvidable. Una montaña rusa de emociones. Salí conmovido.,4.7,Lucía,Whiplash,train
377,"Floja en casi todo. El ritmo es irregular. No la odié, pero tampoco la disfrutaría de nuevo.",2.3,Ana,Joker,valid
789,Muy disfrutable. La fotografía es preciosa. Buen trabajo del director.,4.4,Ana,La La Land,test
92,Horrible experiencia. La fotografía parece amateur. Se siente eterna y vacía.,1.7,Carlos,Spider‑Verse,train
171,No la recomiendo en absoluto. Los diálogos dan vergüenza ajena. Una completa decepción.,1.8,Diego,Whiplash,valid
585,"Correcta pero olvidable. Nada sorprende pero nada ofende. Cumple, aunque no sorprende.",3.4,Ana,Mad Max: Fury Road,test
91,Dos horas perdidas. El guion no tiene sentido. Se siente eterna y vacía.,1.3,Diego,Coco,train
76,No la recomiendo en absoluto. El guion no tiene sentido. Le pongo la peor nota posible.,1.8,María,Coco,train
748,Grata sorpresa. El guion mantiene el suspense. Buen trabajo del director.,4.5,Carlos,Arrival,train
970,Inolvidable. Profundamente conmovedora. La mejor del año.,4.9,Diego,Coco,valid
369,Esperaba más. El ritmo es irregular. Le falta alma.,2.7,FHG,Spider‑Verse,valid
894,Obra maestra. Fotografía y música sobresalientes. Salí conmovido.,4.9,María,Coco,train
530,Tiene luces y sombras. El reparto funciona a medias. Ideal para una tarde lluviosa.,3.7,Ana,La La Land,train
871,Cine del bueno. Una montaña rusa de emociones. La vería mil veces.,5.0,Diego,Everything Everywhere All at Once,train
98,Simplemente nefasta. El montaje es caótico. Una completa decepción.,1.7,Ana,Coco,train
898,Cine del bueno. Cada plano es arte puro. Inolvidable.,5.0,FHG,Arrival,train
273,Esperaba más. El ritmo es irregular. Solo la salva la banda sonora.,2.1,Ana,1917,train
882,Cine del bueno. Te atrapa desde el primer minuto. La mejor del año.,4.9,Diego,Joker,train
937,Impresionante. Profundamente conmovedora. Una joya absoluta.,4.8,Ana,Arrival,train
271,Quedó debiendo muchísimo. El final es predecible. Una pena.,2.6,María,1917,train
709,"Grata sorpresa. El humor está bien medido. Con pequeños fallos, pero funciona.",4.2,Lucía,1917,train
484,Entretenida sin más. Buenos efectos aunque la historia es cliché. Ideal para una tarde lluviosa.,3.9,Diego,Arrival,train
611,"Sólida de principio a fin. El guion mantiene el suspense. Con pequeños fallos, pero funciona.",4.5,María,Dune,train
432,"Está bien para pasar el rato. Buenos efectos aunque la historia es cliché. Cumple, aunque no sorprende.",3.4,FHG,Soul,train
755,Me gustó bastante. El humor está bien medido. Vale la entrada.,4.0,Lucía,Parasite,train
730,Recomendable. Las actuaciones brillan. Seguro la veré otra vez.,4.0,Diego,Spider‑Verse,train
280,Quedó debiendo muchísimo. El ritmo es irregular. Algo rescata la fotografía.,2.3,Lucía,Spider‑Verse,train
14,Dos horas perdidas. El guion no tiene sentido. Desperdicio absoluto de tiempo.,1.4,Carlos,Everything Everywhere All at Once,train
944,Inolvidable. Una montaña rusa de emociones. Inolvidable.,4.9,FHG,Arrival,train
396,"No cumple lo prometido. Los personajes están poco desarrollados. Si no hay nada más, tal vez la pongas de fondo.",2.6,María,Whiplash,test
811,Inolvidable. Te atrapa desde el primer minuto. La vería mil veces.,4.9,Diego,Arrival,train
75,Horrible experiencia. La fotografía parece amateur. Una completa decepción.,1.4,FHG,Arrival,train
240,Floja en casi todo. La música intenta levantar la historia. Algo rescata la fotografía.,2.2,Lucía,Soul,train
276,No cumple lo prometido. Los efectos especiales apenas salvan algunos momentos. Una pena.,2.0,FHG,Roma,train
506,Regular en casi todo. El reparto funciona a medias. Le doy un aprobado raspado.,3.4,Diego,1917,train
237,Floja en casi todo. Los efectos especiales apenas salvan algunos momentos. Algo rescata la fotografía.,2.2,Ana,Whiplash,train
60,Horrible experiencia. Los diálogos dan vergüenza ajena. Ni gratis la volvería a ver.,1.4,Ana,La La Land,train
921,Cine del bueno. Guion impecable y actuaciones memorables. Inolvidable.,5.0,Diego,Whiplash,train
501,Tiene luces y sombras. La ambientación destaca sobre el guion. Seguramente la olvidaré pronto.,3.4,Ana,La La Land,train
968,Inolvidable. Te atrapa desde el primer minuto. Salí conmovido.,4.9,María,Spider‑Verse,valid
152,Dos horas perdidas. El guion no tiene sentido. Una completa decepción.,1.2,Carlos,Parasite,train
250,Esperaba más. El ritmo es irregular. Le falta alma.,2.1,Diego,La La Land,train
654,"Me gustó bastante. El guion mantiene el suspense. Con pequeños fallos, pero funciona.",4.1,Ana,Mad Max: Fury Road,train
12,Insoportable de principio a fin. El guion no tiene sentido. Desperdicio absoluto de tiempo.,1.2,FHG,Soul,train
253,Se queda a medias. El ritmo es irregular. Una pena.,2.8,Lucía,La La Land,train
522,Regular en casi todo. Algunos chistes caen planos. Salí neutral.,3.1,Carlos,Joker,train
228,Decepcionante pero con algún destello. La música intenta levantar la historia. Le falta alma.,2.4,Diego,Arrival,train
895,Cine del bueno. Te atrapa desde el primer minuto. La vería mil veces.,4.7,Diego,Coco,train
942,Obra maestra. Profundamente conmovedora. Inolvidable.,4.8,Lucía,Roma,train
286,"Quedó debiendo muchísimo. La trama se desinfla a mitad. Si no hay nada más, tal vez la pongas de fondo.",2.3,Lucía,Parasite,train
463,Aceptable. Buenos efectos aunque la historia es cliché. No destaca pero tampoco ofende.,3.3,FHG,Interstellar,train
371,"Floja en casi todo. Los personajes están poco desarrollados. Si no hay nada más, tal vez la pongas de fondo.",2.6,María,Spider‑Verse,valid
96,Pésima película. El sonido es confuso. Le pongo la peor nota posible.,1.3,María,1917,train
622,"Sólida de principio a fin. El clímax emociona. Con pequeños fallos, pero funciona.",4.3,Ana,Interstellar,train
416,Regular en casi todo. Buenos efectos aunque la historia es cliché. Salí neutral.,3.1,Diego,Arrival,train
717,Muy disfrutable. El guion mantiene el suspense. Seguro la veré otra vez.,4.2,María,Everything Everywhere All at Once,train
292,Floja en casi todo. El final es predecible. Algo rescata la fotografía.,2.0,Ana,Roma,train
274,Esperaba más. El final es predecible. Algo rescata la fotografía.,2.6,Carlos,Mad Max: Fury Road,train
936,Impresionante. Guion impecable y actuaciones memorables. La vería mil veces.,4.8,María,Whiplash,train
802,Impresionante. Te atrapa desde el primer minuto. Inolvidable.,4.9,Diego,Everything Everywhere All at Once,train
445,Está bien para pasar el rato. El ritmo mantiene la atención. Le doy un aprobado raspado.,3.7,FHG,Joker,train
